fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2024-07-01,8025,ALACANT/ALICANTE,ALICANTE,81,"25,0","1,8","21,4",23:59,"28,5",13:40,03,"2,2","9,4",10:20,"10,0","1010,1",Varias,"1003,1",04,63,85,04:00,48,12:30
2024-07-02,8025,ALACANT/ALICANTE,ALICANTE,81,"24,2","0,0","19,7",05:00,"28,8",08:50,11,"1,9","6,9",12:30,"13,7","1009,7",00,"1005,5",18,60,82,00:00,46,08:40
2024-07-03,8025,ALACANT/ALICANTE,ALICANTE,81,"25,2","0,0","20,7",05:00,"29,7",15:00,13,"1,9","6,1",12:30,"13,7","1006,0",00,"1003,0",17,56,82,05:00,43,14:40
2024-07-04,8025,ALACANT/ALICANTE,ALICANTE,81,"26,8","0,0","21,4",05:00,"32,2",10:50,12,"1,9","6,4",12:40,"13,8","1005,8",11,"1003,5",03,51,78,03:50,37,10:00
2024-07-05,8025,ALACANT/ALICANTE,ALICANTE,81,"25,6","0,0","20,4",05:30,"30,8",12:10,07,"2,5","8,9",10:20,"13,1","1005,4",00,"1001,3",19,42,74,22:10,29,07:30
2024-07-06,8025,ALACANT/ALICANTE,ALICANTE,81,"26,2","0,0","22,1",05:00,"30,4",Varias,15,"1,9","8,3",Varias,"12,1","1002,0",24,"997,8",17,64,84,Varias,48,13:50
2024-07-07,8025,ALACANT/ALICANTE,ALICANTE,81,"26,2","0,0","22,6",05:00,"29,7",10:20,06,"3,1","9,4",16:30,"10,5","1006,0",Varias,"1001,6",03,70,86,Varias,54,13:30
2024-07-08,8025,ALACANT/ALICANTE,ALICANTE,81,"25,8","0,0","22,6",04:40,"28,9",Varias,14,"2,2","6,9",11:50,"10,3","1006,7",22,"1004,9",16,68,86,04:40,61,14:50
2024-07-09,8025,ALACANT/ALICANTE,ALICANTE,81,"25,6","0,0","22,1",02:00,"29,2",14:00,14,"1,4","6,4",14:10,"13,2","1007,3",22,"1005,1",01,66,82,01:50,59,08:20
2024-07-10,8025,ALACANT/ALICANTE,ALICANTE,81,"26,0","0,0","21,4",05:00,"30,7",09:20,17,"1,7","5,8",11:10,"13,6","1008,0",13,"1005,6",03,59,87,23:59,52,09:00
