horizon,mse,rmse,mae,mape,mdape,smape,coverage
37 days,9.863346567747826,3.140596530557185,2.454779475390924,0.008596386281042067,0.00669554564007917,0.008575948839647912,0.7522935779816514
38 days,9.94768415313609,3.153994951349176,2.4849330886173977,0.008706715445617366,0.006702739420792506,0.008685668913800506,0.7400611620795108
39 days,9.39357512224362,3.064893982219225,2.44820324053729,0.008588048967844097,0.007130754433123749,0.008569205404958646,0.746177370030581
40 days,8.669487983377143,2.944399426602502,2.3633345538179964,0.008301234928549487,0.00669554564007917,0.008284130963214887,0.7553516819571865
41 days,8.18778722971981,2.8614309758789935,2.296185177112686,0.008071133336447928,0.00669554564007917,0.00805502625521528,0.7737003058103975
42 days,7.767842567257681,2.787084958744114,2.223020395701998,0.007816133691705472,0.006311601694278532,0.007799594700154171,0.7920489296636085
43 days,7.481836083335095,2.7352945149170127,2.1601785744954975,0.007596258396892154,0.005796014911262457,0.007580057094967856,0.7981651376146789
44 days,7.64278319556359,2.7645584087813355,2.1856723038638726,0.0076843465882590395,0.00595021582789617,0.007667766070645309,0.7889908256880734
45 days,7.538287198728881,2.7455941431189137,2.1533835130497136,0.0075621427710208175,0.00595021582789617,0.007546989829376328,0.7951070336391438
46 days,7.519096155624431,2.7420970361430377,2.1525657019215076,0.00755694710411725,0.00595021582789617,0.0075422345037850945,0.7981651376146789
47 days,7.554976662169929,2.7486317800261877,2.155652918299382,0.007563639003550933,0.00595021582789617,0.0075491663740699854,0.7981651376146789
48 days,7.71666539107416,2.7778886570692785,2.1892558177140535,0.007676930741779724,0.006311601694278532,0.007663616310513022,0.7889908256880734
49 days,7.8102380382926135,2.7946803105708913,2.214519635600309,0.007751987084589169,0.006537967030628553,0.007741947164589699,0.7767584097859328
50 days,7.898522716170915,2.81043105522461,2.2292027000453234,0.007788791849890715,0.006537967030628553,0.007782166888324371,0.7675840978593272
51 days,7.901011407321497,2.810873780040914,2.2341928159169484,0.0077997522642012426,0.007130754433123749,0.007794471920871253,0.7706422018348624
52 days,7.9250591726442385,2.815148161757075,2.2463631444304126,0.007842788540163013,0.007130754433123749,0.007837856185893026,0.7706422018348624
53 days,8.225279617563851,2.8679748286140607,2.2927790664108842,0.008011395717773493,0.007130754433123749,0.00800551741763868,0.7614678899082569
54 days,8.702663030267802,2.9500276321193675,2.348127650161975,0.00821740530820436,0.007130754433123749,0.008209511012412742,0.7522935779816514
55 days,9.282850001150592,3.046776985791804,2.4328001009322535,0.008519922786934404,0.007474077943700689,0.008509605930875491,0.7339449541284404
56 days,9.553923835018638,3.090942224471146,2.4782147573607,0.008681514141750453,0.007482028327197237,0.008669986370709239,0.7247706422018348
57 days,9.388409437156508,3.064051147934138,2.439671983069468,0.008547137450201475,0.007474077943700689,0.008536080824555415,0.7370030581039755
58 days,9.690302850222292,3.1129251276287215,2.4636996389474315,0.008640832858426067,0.007474077943700689,0.008627472399075655,0.7339449541284404
59 days,9.7946034907394,3.1296331239842474,2.4905931406430533,0.008739248554593798,0.007733431159955488,0.008725698934386383,0.7339449541284404
60 days,10.276225813883153,3.205655286190821,2.5497937252360723,0.008946603401095427,0.008204013243727699,0.008935701624071403,0.7247706422018348
61 days,10.964840472095817,3.31132004978314,2.6307581336985497,0.00923111940458138,0.008399065916708904,0.009222307901409857,0.7125382262996942
62 days,11.376575579527694,3.3729179621698027,2.6746367624994973,0.009382305302437971,0.008399065916708904,0.009375940998496682,0.7125382262996942
63 days,12.117860133425038,3.481071693232565,2.757139400249117,0.009664231353072938,0.008399065916708904,0.009662306773187967,0.7064220183486238
64 days,13.209118099981136,3.634435045503102,2.881476353315935,0.010089872373526097,0.008617977174364995,0.010093152542949303,0.6941896024464832
